Label,Alkali sorbent,Transport,Transport Distance,Building savings,Avoided product,"Acidification, mol H+ eq","Climate change (total), kg CO2 eq","Climate change (biogenic), kg CO2 eq","Climate change (fossil), kg CO2 eq","Climate change (land use), kg CO2 eq","Ecotoxicity: freshwater, CTUe","ecotoxicity: freshwater, inorganics, CTUe","ecotoxicity: freshwater, organics, CTUe","energy resources: non-renewable, Mjeq","eutrophication: freshwater, kg P eq","eutrophication: marine , kg N eq"," eutrophication: terrestrial, mol N-eq","human toxicity: carcinogenic , CTUh","human toxicity: carcinogenic , inorganics, CTUh","human toxicity: carcinogenic , organics, CTUh","human toxicity: non-carcinogenic , CTUh","human toxicity: non-carcinogenic , inorganics, CTUh","human toxicity: non-carcinogenic , organics, CTUh","ionising radiation: human health , kg Bq U235eq","land use, (dimensionless)","material resources: metals/minerals, kg Sb-eq","ozone depletion, kg CFC11-eq","particulate matter formation, disease incidence","photochemical oxidant formation: human health, kg NMVOC-eq","water use , m3 world eq depriv","Cost, USD2023"
Conventional lime (commercial),Conventional lime (commercial),0,200,0,None,128.9566695,29066.6836,9.687118374,29047.01708,9.979406044,144434.3258,138623.371,5810.954813,322361.9449,0.28184798,27.92963824,304.1822703,2.39E-05,6.91E-06,1.70E-05,0.000225666,0.000214373,1.13E-05,305.2327049,101418.0856,0.000394696,0.115435479,0.001853947,126.7399553,1920.465932,7798.212961
"Conventional lime (commercial), avoided product SCM",Conventional lime (commercial),0,200,0,SCM,77.66125769,3441.39438,6.774944097,3426.851121,7.768314815,86335.8148,82123.45556,4212.359239,230304.8871,0.032293656,12.85452865,128.7115221,1.96E-05,4.06E-06,1.55E-05,6.53292E-05,5.57942E-05,9.53E-06,161.5662943,85267.00451,0.000336983,0.00842989,0.001541165,78.77351827,209.4832404,6713.364476
"Conventional lime (commercial), avoided product Aggregate",Conventional lime (commercial),0,200,0,Aggregate,126.556352,28721.40385,9.450546597,28702.21977,9.73353314,142162.1948,136443.2141,5718.980659,317701.5287,0.276359977,27.10497626,295.1070522,2.37E-05,6.79E-06,1.69E-05,0.0002224,0.000211387,1.10E-05,301.261452,78826.16483,0.000389779,0.114058835,0.001812011,123.883065,1835.805954,7391.394779
"Conventional lime (commercial), avoided product Filler",Conventional lime (commercial),0,200,0,Filler,74.89532371,18495.0527,-0.493285221,18490.95986,4.586129215,107110.9864,102589.3028,4521.683556,172427.0369,0.04031056,17.59209587,186.224828,1.40E-05,-8.29E-07,1.48E-05,3.10762E-05,3.00515E-05,1.02E-06,53.85190149,63508.20056,4.54873E-05,-0.103145691,0.001429632,79.39867221,-1432.931983,7391.394779
"Conventional lime (commercial), building savings considered",Conventional lime (commercial),0,200,1,None,26.18755199,-12806.49131,2.335015796,-12812.41766,3.591332853,97069.18276,95827.54864,1241.634116,-269309.5525,-0.268115291,9.744040702,102.0899187,1.28E-05,2.24E-06,1.06E-05,7.46E-05,7.26E-05,2.02E-06,-665.047181,38005.71382,-0.000325463,0.073339312,0.00150018,34.43266734,-959.1662015,-11923.85804
"Conventional lime (commercial), building savings considered, avoided product SCM",Conventional lime (commercial),0,200,1,SCM,-25.10785982,-38431.78053,-0.577158481,-38432.58361,1.380241624,38970.67178,39327.63324,-356.9614581,-361366.6103,-0.517669615,-5.331068889,-73.38082953,8.44E-06,-6.14E-07,9.05E-06,-8.57E-05,-8.60E-05,2.64E-07,-808.7135915,21854.63274,-0.000383176,-0.033666277,0.001187398,-13.53376972,-2670.148893,-13008.70653
"Conventional lime (commercial), building savings considered, avoided product Aggregate",Conventional lime (commercial),0,200,1,Aggregate,23.78723448,-13151.77106,2.09844402,-13157.21496,3.345459949,94797.05174,93647.39178,1149.659962,-273969.9687,-0.273603294,8.919378718,93.01470056,1.25E-05,2.12E-06,1.04E-05,7.13E-05,6.96E-05,1.74E-06,-669.0184338,15413.79306,-0.000330381,0.071962668,0.001458244,31.57577703,-1043.82618,-12330.67622
"Conventional lime (commercial), building savings considered, avoided product Filler",Conventional lime (commercial),0,200,1,Filler,-27.8737938,-23378.12221,-7.845387799,-23368.47487,-1.801943977,59745.84333,59793.48047,-47.63714116,-419244.4605,-0.509652711,-0.593501669,-15.86752368,2.84E-06,-5.50E-06,8.34E-06,-1.20E-04,-1.12E-04,-8.25E-06,-916.4279844,95.82878803,-0.000674672,-0.145241858,0.001075865,-12.90861578,-4312.564116,-12330.67622
"Conventional lime (commercial), short distance",Conventional lime (commercial),0,50,0,None,80.96950235,18954.17415,3.935977119,18946.98268,3.255497471,71493.0649,68470.1403,3022.924598,181089.6831,0.14688589,12.54538344,136.696125,9.36E-06,3.48E-06,5.88E-06,0.000112493,0.00010739,5.10E-06,208.9572181,38205.33106,0.00023402,0.038490418,0.000852261,62.70366213,1011.808274,5142.715946
"Conventional lime (commercial), short distance, avoided product SCM",Conventional lime (commercial),0,50,0,SCM,29.67409053,-6671.115067,1.023802842,-6673.183276,1.044406242,13394.55392,11970.22489,1424.329024,89032.62537,-0.102668434,-2.529726153,-38.77462323,4.99E-06,6.27E-07,4.37E-06,-4.78441E-05,-5.11895E-05,3.35E-06,65.29080754,22054.24998,0.000176307,-0.06851517,0.000539479,14.73722507,-699.174418,4057.867461
