Label,Alkali sorbent,Transport,Transport Distance,Building savings,Avoided product,"Acidification, mol H+ eq","Climate change (total), kg CO2 eq","Climate change (biogenic), kg CO2 eq","Climate change (fossil), kg CO2 eq","Climate change (land use), kg CO2 eq","Ecotoxicity: freshwater, CTUe","ecotoxicity: freshwater, inorganics, CTUe","ecotoxicity: freshwater, organics, CTUe","energy resources: non-renewable, Mjeq","eutrophication: freshwater, kg P eq","eutrophication: marine , kg N eq"," eutrophication: terrestrial, mol N-eq","human toxicity: carcinogenic , CTUh","human toxicity: carcinogenic , inorganics, CTUh","human toxicity: carcinogenic , organics, CTUh","human toxicity: non-carcinogenic , CTUh","human toxicity: non-carcinogenic , inorganics, CTUh","human toxicity: non-carcinogenic , organics, CTUh","ionising radiation: human health , kg Bq U235eq","land use, (dimensionless)","material resources: metals/minerals, kg Sb-eq","ozone depletion, kg CFC11-eq","particulate matter formation, disease incidence","photochemical oxidant formation: human health, kg NMVOC-eq","water use , m3 world eq depriv","Cost, USD2023"
Conventional lime (commercial),Conventional lime (commercial),0,200,0,None,114.8864579,27762.74861,36.55674704,27726.55902,12.06895317,132738.6249,127297.2387,5546.032721,312990.1974,0.50064541,25.61673244,279.3487765,2.33994E-05,6.83647E-06,1.65648E-05,0.000221406,0.000210155,1.11566E-05,318.9535843,95545.81872,0.000428526,0.115031037,0.001797097,120.596326,1957.638514,6966.085032
"Conventional lime (commercial), avoided product SCM",Conventional lime (commercial),0,200,0,SCM,63.35554959,2231.623268,30.97579368,2204.125803,8.957782327,103575.1286,99390.97548,4288.799624,218397.9698,0.220494601,10.3379838,102.1066915,1.96656E-05,4.6719E-06,1.49956E-05,6.59404E-05,5.69092E-05,8.93777E-06,128.8264578,79006.0946,0.000335282,0.104861079,0.001498059,71.38156239,24.92707429,6423.66079
"Conventional lime (commercial), avoided product Aggregate",Conventional lime (commercial),0,200,0,Aggregate,113.9840469,27619.27754,36.29160626,27583.42713,11.99491687,131748.1684,126353.0259,5499.788991,310807.2634,0.498874585,25.26943441,275.4524138,2.32689E-05,6.76827E-06,1.65025E-05,0.000219713,0.000208633,1.09865E-05,311.6694662,92885.34809,0.0004257,0.114195628,0.001776138,119.373552,1905.529013,6423.66079
"Conventional lime (commercial), avoided product Filler",Conventional lime (commercial),0,200,0,Filler,60.82511215,17191.11771,26.37634344,17170.5018,6.675676342,95415.28552,91263.17052,4256.761464,163055.2895,0.25910799,15.27919007,161.3913342,1.3438E-05,-8.99E-07,1.43389E-05,2.68159E-05,2.58337E-05,8.88683E-07,67.5727809,57635.93369,7.93173E-05,-0.103550133,0.001372782,73.2550429,-1395.759401,6423.66079
"Conventional lime (commercial), building savings considered",Conventional lime (commercial),0,200,1,None,68.59861838,-8781.517816,-130.0443862,-8627.076225,-11.9610937,99299.93787,98102.21982,1302.364517,-234085.5199,-1.437267531,15.4485077,159.9617618,1.51723E-05,2.17101E-06,1.30031E-05,7.036E-05,6.701E-05,3.25652E-06,-427.5129088,60827.6837,-0.000146691,0.071167616,0.001560192,59.52589921,-957.2954148,-14226.88825
"Conventional lime (commercial), building savings considered, avoided product SCM",Conventional lime (commercial),0,200,1,SCM,17.06771002,-34312.64316,-135.6253395,-34149.50944,-15.07226455,70136.44157,70195.95662,45.13142109,-328677.7475,-1.717418341,0.169759056,-17.28032329,1.14385E-05,6.45018E-09,1.14339E-05,-8.51E-05,-8.62E-05,1.03765E-06,-617.6400352,44287.95958,-0.000239935,0.060997658,0.001261154,10.31113558,-2890.006854,-14769.31249
"Conventional lime (commercial), building savings considered, avoided product Aggregate",Conventional lime (commercial),0,200,1,Aggregate,67.69620733,-8924.98889,-130.3095269,-8770.208122,-12.03513001,98309.48135,97158.00702,1256.120788,-236268.4539,-1.439038356,15.10120966,156.065399,1.50418E-05,2.10282E-06,1.29408E-05,6.86673E-05,6.54875E-05,3.08637E-06,-434.7970269,58167.21307,-0.000149517,0.070332207,0.001539233,58.30312522,-1009.404915,-14769.31249
"Conventional lime (commercial), building savings considered, avoided product Filler",Conventional lime (commercial),0,200,1,Filler,14.53727258,-19353.14872,-140.2247898,-19183.13344,-17.35437053,61976.59845,62068.15165,13.09326037,-384020.4278,-1.678804951,5.110965325,42.00431944,5.21084E-06,-5.56E-06,1.07773E-05,-0.00012423,-0.000117312,-7.01E-06,-678.8937122,22917.79868,-0.0004959,-0.147413554,0.001135877,12.1846161,-4310.69333,-14769.31249
"Conventional lime (commercial), short distance",Conventional lime (commercial),0,50,0,None,70.38782226,18020.03756,30.47955128,17995.98505,6.009070619,66595.69011,63781.06593,2919.270642,173354.3539,0.376486507,10.93887475,119.8441803,8.89788E-06,3.48271E-06,5.41704E-06,0.000111829,0.000106826,4.90882E-06,186.886426,33133.28005,0.000225313,0.03825078,0.000821609,57.2372726,1036.207328,4310.588017
"Conventional lime (commercial), short distance, avoided product SCM",Conventional lime (commercial),0,50,0,SCM,18.85691389,-7511.087787,24.89859792,-7526.448173,2.897899774,37432.19381,35874.80272,1662.037546,78762.12634,0.096335698,-4.339873895,-57.39790477,5.16411E-06,1.31815E-06,3.84783E-06,-4.36E-05,-4.64E-05,2.68995E-06,-3.240700416,16593.55593,0.000132069,0.028080823,0.000522571,8.022508968,-896.5041114,3768.163774
