Label,Alkali sorbent,Transport,Transport Distance,Building savings,Avoided product,"Acidification, mol H+ eq","Climate change (total), kg CO2 eq","Climate change (biogenic), kg CO2 eq","Climate change (fossil), kg CO2 eq","Climate change (land use), kg CO2 eq","Ecotoxicity: freshwater, CTUe","ecotoxicity: freshwater, inorganics, CTUe","ecotoxicity: freshwater, organics, CTUe","energy resources: non-renewable, Mjeq","eutrophication: freshwater, kg P eq","eutrophication: marine , kg N eq"," eutrophication: terrestrial, mol N-eq","human toxicity: carcinogenic , CTUh","human toxicity: carcinogenic , inorganics, CTUh","human toxicity: carcinogenic , organics, CTUh","human toxicity: non-carcinogenic , CTUh","human toxicity: non-carcinogenic , inorganics, CTUh","human toxicity: non-carcinogenic , organics, CTUh","ionising radiation: human health , kg Bq U235eq","land use, (dimensionless)","material resources: metals/minerals, kg Sb-eq","ozone depletion, kg CFC11-eq","particulate matter formation, disease incidence","photochemical oxidant formation: human health, kg NMVOC-eq","water use , m3 world eq depriv","Cost, USD2023"
Conventional lime (commercial),Conventional lime (commercial),0,200,0,None,118.4829903,27036.34505,9.755944578,27016.70966,9.879446365,141415.6438,135956.9703,5458.673476,300451.5161,0.248423828,26.1762991,284.7224047,2.34873E-05,6.81491E-06,1.66723E-05,0.000216253,0.000205082,1.11709E-05,328.9533618,94042.22735,0.000356477,0.121394341,0.00183043,120.5083838,1725.910244,7255.990461
"Conventional lime (commercial), avoided product SCM",Conventional lime (commercial),0,200,0,SCM,67.18757851,1411.055832,6.843770302,1396.543706,7.668355136,83317.13284,79457.05493,3860.077902,208394.4584,-0.001130495,11.10118951,109.2516565,1.91208E-05,3.96455E-06,1.51563E-05,5.59167E-05,4.65035E-05,9.41324E-06,185.2869512,77891.14628,0.000298764,0.014388753,0.001517648,72.54194675,14.92755229,6849.172279
"Conventional lime (commercial), avoided product Aggregate",Conventional lime (commercial),0,200,0,Aggregate,116.0826728,26691.0653,9.519372802,26671.91235,9.633573461,139143.5128,133776.8135,5366.699322,295791.0999,0.242935826,25.35163711,275.6471866,2.32221E-05,6.70001E-06,1.65221E-05,0.000212987,0.000202097,1.08906E-05,324.9821089,71450.3066,0.00035156,0.120017698,0.001788493,117.6514935,1641.250266,6849.172279
"Conventional lime (commercial), avoided product Filler",Conventional lime (commercial),0,200,0,Filler,64.42164453,16464.71415,-0.424459017,16460.65244,4.486169536,104092.3044,99922.90217,4169.402219,150516.6082,0.006886408,15.83875673,166.7649623,1.35258E-05,-9.2066E-07,1.44465E-05,2.16637E-05,2.07608E-05,9.02941E-07,77.5725584,56132.34233,7.26863E-06,-0.097186828,0.001406114,73.1671007,-1627.487671,6849.172279
"Conventional lime (commercial), building savings considered",Conventional lime (commercial),0,200,1,None,55.35304426,-10426.65101,-6.329147738,-10425.3455,5.023636074,107558.5004,106238.9908,1319.509651,-319345.3473,-0.456978475,15.26506836,162.1837292,1.4236E-05,2.98424E-06,1.12517E-05,8.86949E-05,8.55167E-05,3.17815E-06,-2567.37551,67618.8039,-0.000156952,0.082420875,0.00156765,51.06350598,-1135.765204,-29375.12266
"Conventional lime (commercial), building savings considered, avoided product SCM",Conventional lime (commercial),0,200,1,SCM,4.057632445,-36051.94023,-9.241322014,-36045.51146,2.812544846,49459.98944,49739.07537,-279.0859233,-411402.405,-0.706532799,0.189958773,-13.28701901,9.86954E-06,1.33883E-07,9.73566E-06,-7.16418E-05,-7.30623E-05,1.4205E-06,-2711.041921,51467.72282,-0.000214665,-0.024584713,0.001254868,3.097068918,-2846.747895,-29781.94085
"Conventional lime (commercial), building savings considered, avoided product Aggregate",Conventional lime (commercial),0,200,1,Aggregate,52.95272674,-10771.93076,-6.565719514,-10770.14281,4.77776317,105286.3694,104058.8339,1227.535497,-324005.7635,-0.462466478,14.44040638,153.1085111,1.39708E-05,2.86935E-06,1.11014E-05,8.54289E-05,8.2531E-05,2.89788E-06,-2571.346763,45026.88315,-0.000161869,0.081044232,0.001525714,48.20661567,-1220.425182,-29781.94085
"Conventional lime (commercial), building savings considered, avoided product Filler",Conventional lime (commercial),0,200,1,Filler,1.291698466,-20998.28191,-16.50955133,-20981.40272,-0.369640755,70235.161,70204.9226,30.23839363,-469280.2552,-0.698515895,4.927525993,44.22628683,4.27454E-06,-4.75133E-06,9.02587E-06,-0.000105895,-9.88049E-05,-7.0898E-06,-2818.756313,29708.91887,-0.000506161,-0.136160294,0.001143335,3.722222861,-4489.163118,-29781.94085
"Conventional lime (commercial), short distance",Conventional lime (commercial),0,50,0,None,70.49582317,16923.8356,4.004803323,16916.67526,3.155537792,68474.38293,65803.73967,2670.643261,159179.2544,0.113461739,10.79204429,117.2362593,8.90497E-06,3.38518E-06,5.51979E-06,0.00010308,9.80988E-05,4.98127E-06,232.677875,30829.47283,0.000195802,0.044449281,0.000828743,56.47209061,817.2525856,4600.493446
"Conventional lime (commercial), short distance, avoided product SCM",Conventional lime (commercial),0,50,0,SCM,19.20041135,-8701.453615,1.092629047,-8703.490691,0.944446563,10375.87196,9303.824268,1072.047687,67122.19661,-0.136092585,-4.283065299,-58.23448889,4.53855E-06,5.34822E-07,4.00373E-06,-5.72566E-05,-6.04802E-05,3.22362E-06,89.01146445,14678.39175,0.000138089,-0.062556308,0.000515961,8.505653554,-893.7301061,4193.675264
"Conventional lime (commercial), short distance, avoided product Aggregate",Conventional lime (commercial),0,50,0,Aggregate,68.09550565,16578.55585,3.768231547,16571.87796,2.909664887,66202.25192,63623.58281,2578.669107,154518.8382,0.107973736,9.967382309,108.1610412,8.63978E-06,3.27029E-06,5.3695E-06,9.98141E-05,9.51131E-05,4.701E-06,228.7066221,8237.552073,0.000190884,0.043072637,0.000786807,53.6152003,732.5926074,4193.675264
"Conventional lime (commercial), short distance, avoided product Filler",Conventional lime (commercial),0,50,0,Filler,16.43447738,6352.204705,-6.175600272,6360.618044,-2.237739038,31151.04351,29769.6715,1381.372004,9244.346422,-0.128075681,0.454501922,-0.721183043,-1.05645E-06,-4.35039E-06,3.29394E-06,-9.15096E-05,-8.62229E-05,-5.28668E-06,-18.70292838,-7080.412201,-0.000153407,-0.174131889,0.000404428,9.130807497,-2536.145329,4193.675264
"Conventional lime (commercial), short distance, building savings considered",Conventional lime (commercial),0,50,1,None,7.365877102,-20539.16046,-12.08028899,-20525.3799,-1.700272499,34617.23954,36085.7601,-1468.520564,-460617.609,-0.591940564,-0.119186439,-5.302416203,-3.46316E-07,-4.4548E-07,9.91649E-08,-2.44784E-05,-2.14669E-05,-3.01147E-06,-2663.650997,4406.049373,-0.000317628,0.005475815,0.000565964,-12.97278722,-2044.422862,-32030.61968
"Conventional lime (commercial), short distance, building savings considered, avoided product SCM",Conventional lime (commercial),0,50,1,SCM,-43.92953472,-46164.44968,-14.99246327,-46145.54585,-3.911363728,-23481.27144,-20414.1553,-3067.116138,-552674.6668,-0.841494888,-15.19429603,-180.7731644,-4.71274E-06,-3.29584E-06,-1.4169E-06,-0.000184815,-0.000180046,-4.76912E-06,-2807.317407,-11745.0317,-0.000375341,-0.101529774,0.000253182,-60.93922428,-3755.405554,-32437.43786
"Conventional lime (commercial), short distance, building savings considered, avoided product Aggregate",Conventional lime (commercial),0,50,1,Aggregate,4.965559584,-20884.44021,-12.31686077,-20870.17721,-1.946145403,32345.10852,33905.60324,-1560.494718,-465278.0252,-0.597428567,-0.943848423,-14.37763429,-6.11507E-07,-5.60379E-07,-5.1128E-08,-2.77444E-05,-2.44526E-05,-3.29175E-06,-2667.62225,-18185.87138,-0.000322545,0.004099171,0.000524027,-15.82967753,-2129.08284,-32437.43786
"Conventional lime (commercial), short distance, building savings considered, avoided product Filler",Conventional lime (commercial),0,50,1,Filler,-46.69546869,-31110.79136,-22.26069259,-31081.43712,-7.093549328,-2706.099886,51.6919348,-2757.791821,-610552.517,-0.833477984,-10.45672881,-123.2598585,-1.03077E-05,-8.18105E-06,-2.12668E-06,-0.000219068,-0.000205789,-1.32794E-05,-2915.0318,-33503.83565,-0.000666836,-0.213105355,0.000141648,-60.31407034,-5397.820777,-32437.43786
